REQUEST_TIME,DEVICE_IP,ID,USER_ID,ID_TYPE,OPERATING_SYSTEM
18:36.0,63.7.11.8,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
24:54.0,63.7.11.8,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
32:18.0,63.7.11.8,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
43:21.0,63.7.11.8,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
45:39.0,63.7.11.8,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
54:01.0,63.7.11.8,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
07:15.0,192.219.114.212,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
24:43.0,192.219.114.212,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
29:12.0,106.137.183.66,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
32:44.0,2001:c8f6:cb6c:::,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
39:49.0,106.137.183.66,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
49:42.0,106.137.183.66,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
50:41.0,192.219.114.212,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
13:36.0,192.219.114.212,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
15:42.0,192.219.114.212,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
24:27.0,192.219.114.212,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
27:57.0,192.219.114.212,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
30:26.0,192.219.114.212,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
43:52.0,106.137.183.66,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
53:03.0,2001:6a37:bbb4:::,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
54:33.0,106.137.183.66,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
34:26.0,63.7.11.8,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
46:04.0,63.7.11.8,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
53:00.0,106.137.183.66,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
08:24.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
08:36.2,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
26:31.8,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
27:27.8,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
27:41.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
19:31.1,158.110.247.117,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
25:20.9,2001:6f33:b3dc:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
23:17.9,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
58:48.1,2001:6f33:b3dc:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
58:48.1,2001:6f33:b3dc:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
01:56.5,2001:6f33:b3dc:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
03:02.9,2001:2154:2c71:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
08:25.9,2001:2154:2c71:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
18:43.5,2001:6f33:b3dc:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
20:26.8,142.146.210.50,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
20:40.1,2001:2154:2c71:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
30:52.2,142.146.210.50,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
37:49.0,2001:2154:2c71:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
41:13.1,2001:2154:2c71:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
44:13.2,142.146.210.50,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
25:19.0,192.44.70.62,L752PWBMKGE0YX7R3WH2HKF97OCIHO014HGY,2,IDFV,ios
36:08.6,2001:4995:6d5b:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
50:36.7,2001:4995:6d5b:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
51:58.4,2001:2154:2c71:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
11:53.7,2001:2154:2c71:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios
18:39.3,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
48:19.8,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
35:53.0,41.224.174.218,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
00:17.0,41.224.174.218,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
44:26.0,41.224.174.218,NGAYXUHF5_FR4EY19H3FA0OLJZ9B11ZSDTMV,2,IDFV,ios
52:21.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
57:07.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
09:29.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
10:14.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
25:51.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
34:28.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
42:42.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
40:08.0,119.102.39.239,1INVNBYCL37N_QMZHKB_AQOWY0X70PFCU_71,2,IDFV,ios
30:44.7,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
32:02.2,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
32:26.3,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
33:13.9,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
34:33.5,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
